ўИ���8K����8K���ИK�јK����p��������battery_voltage	64.00
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.03830
% bat	50051.22656
% batA	0.00000
% batB	0.00000
% batC	-82.81250

dt_ms	41744.00
last_read_micros	4855664
current_read_micros	4897408
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0871999263
calculte_milli_coulombs_transffred	333952.0312500000
battery_capacity_coulomb	54064.2578125000
battery_capacity_milli_coulomb	54064256
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-35.01083
% bat	50059.49609
% batA	0.00000
% batB	0.00000
% batC	-20.53572

dt_ms	41732.00
last_read_micros	4897408
current_read_micros	4939140
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0866000652
calculte_milli_coulombs_transffred	333856.0312500000
battery_capacity_coulomb	54070.5273437500
battery_capacity_milli_coulomb	54070528
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.99252
% bat	50065.30468
% batA	0.00000
% batB	0.00000
% batC	23.21429

dt_ms	41648.00
last_read_micros	4939140
current_read_micros	4980788
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	333184.0312500000
battery_capacity_coulomb	54076.7031250000
battery_capacity_milli_coulomb	54076704
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.97421
% bat	50071.02343
% batA	0.00000
% batB	0.00000
% batC	66.29464

BAT PERCENT
50.08 %
dt_ms	76104.00
last_read_micros	4980788
current_read_micros	5056892
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8052000999
calculte_milli_coulombs_transffred	608832.0000000000
battery_capacity_coulomb	54082.2070312500
battery_capacity_milli_coulomb	54082208
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.95590
% bat	50076.11718
% batA	0.00000
% batB	100.00000
% batC	104.68750

dt_ms	39184.00
last_read_micros	5056892
current_read_micros	5096076
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9592000007
calculte_milli_coulombs_transffred	313472.0000000000
battery_capacity_coulomb	54101.2148437500
battery_capacity_milli_coulomb	54101216
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.89791
% bat	50093.71875
% batA	0.00000
% batB	-200.00000
% batC	-219.86607

dt_ms	42076.00
last_read_micros	5096076
current_read_micros	5138152
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54087.0078125000
battery_capacity_milli_coulomb	54087008
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.94064
% bat	50080.56250
% batA	0.00000
% batB	100.00000
% batC	138.16964

dt_ms	41904.00
last_read_micros	5138152
current_read_micros	5180056
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54095.9375000000
battery_capacity_milli_coulomb	54095936
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.91622
% bat	50088.82812
% batA	0.00000
% batB	200.00000
% batC	200.44642

dt_ms	41912.00
last_read_micros	5180056
current_read_micros	5221968
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	335296.0312500000
battery_capacity_coulomb	54103.4882812500
battery_capacity_milli_coulomb	54103488
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.89181
% bat	50095.82421
% batA	0.00000
% batB	-200.00000
% batC	-204.01785

dt_ms	42068.00
last_read_micros	5221968
current_read_micros	5264036
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1033999919
calculte_milli_coulombs_transffred	336544.0312500000
battery_capacity_coulomb	54111.1054687500
battery_capacity_milli_coulomb	54111104
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.86740
% bat	50102.87500
% batA	0.00000
% batB	-100.00000
% batC	-150.89285

dt_ms	42076.00
last_read_micros	5264036
current_read_micros	5306112
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54119.9687500000
battery_capacity_milli_coulomb	54119968
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.84298
% bat	50111.08203
% batA	0.00000
% batB	0.00000
% batC	-89.06250

BAT PERCENT
50.12 %
dt_ms	76192.00
last_read_micros	5306112
current_read_micros	5382304
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8095998764
calculte_milli_coulombs_transffred	609536.0000000000
battery_capacity_coulomb	54128.8945312500
battery_capacity_milli_coulomb	54128896
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.81552
% bat	50119.34765
% batA	0.00000
% batB	0.00000
% batC	-26.78572

dt_ms	39016.00
last_read_micros	5382304
current_read_micros	5421320
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9507999420
calculte_milli_coulombs_transffred	312128.0000000000
battery_capacity_coulomb	54148.6093750000
battery_capacity_milli_coulomb	54148608
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.75448
% bat	50137.60156
% batA	0.00000
% batB	100.00000
% batC	110.71429

dt_ms	41912.00
last_read_micros	5421320
current_read_micros	5463232
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	335296.0312500000
battery_capacity_coulomb	54133.0546875000
battery_capacity_milli_coulomb	54133056
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.80025
% bat	50123.19921
% batA	0.00000
% batB	0.00000
% batC	2.23214

dt_ms	41556.00
last_read_micros	5463232
current_read_micros	5504788
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0778000354
calculte_milli_coulombs_transffred	332448.0312500000
battery_capacity_coulomb	54140.6718750000
battery_capacity_milli_coulomb	54140672
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.77889
% bat	50130.25390
% batA	0.00000
% batB	0.00000
% batC	55.35714

dt_ms	41652.00
last_read_micros	5504788
current_read_micros	5546440
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	333216.0312500000
battery_capacity_coulomb	54145.4414062500
battery_capacity_milli_coulomb	54145440
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.76363
% bat	50134.66796
% batA	0.00000
% batB	0.00000
% batC	88.61608

dt_ms	41648.00
last_read_micros	5546440
current_read_micros	5588088
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	333184.0312500000
battery_capacity_coulomb	54150.9765625000
battery_capacity_milli_coulomb	54150976
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.74837
% bat	50139.78906
% batA	0.00000
% batB	100.00000
% batC	127.23214

dt_ms	41912.00
last_read_micros	5588088
current_read_micros	5630000
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	335296.0312500000
battery_capacity_coulomb	54156.4804687500
battery_capacity_milli_coulomb	54156480
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.73006
% bat	50144.89062
% batA	0.00000
% batB	100.00000
% batC	165.62500

BAT PERCENT
50.15 %
dt_ms	76372.00
last_read_micros	5630000
current_read_micros	5706372
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8185998916
calculte_milli_coulombs_transffred	610976.0000000000
battery_capacity_coulomb	54164.0976562500
battery_capacity_milli_coulomb	54164096
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.70565
% bat	50151.93750
% batA	0.00000
% batB	200.00000
% batC	218.75000

dt_ms	39180.00
last_read_micros	5706372
current_read_micros	5745552
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9590000152
calculte_milli_coulombs_transffred	313440.0000000000
battery_capacity_coulomb	54185.2460937500
battery_capacity_milli_coulomb	54185248
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.64156
% bat	50171.52343
% batA	0.00000
% batB	0.00000
% batC	-90.84822

dt_ms	41740.00
last_read_micros	5745552
current_read_micros	5787292
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0869998931
calculte_milli_coulombs_transffred	333920.0312500000
battery_capacity_coulomb	54171.0078125000
battery_capacity_milli_coulomb	54171008
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.68428
% bat	50158.33984
% batA	0.00000
% batB	-100.00000
% batC	-190.17857

dt_ms	42076.00
last_read_micros	5787292
current_read_micros	5829368
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54177.2460937500
battery_capacity_milli_coulomb	54177248
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.66597
% bat	50164.12109
% batA	0.00000
% batB	-100.00000
% batC	-146.65177

dt_ms	42076.00
last_read_micros	5829368
current_read_micros	5871444
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54186.1757812500
battery_capacity_milli_coulomb	54186176
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.63851
% bat	50172.38671
% batA	0.00000
% batB	0.00000
% batC	-84.37500

dt_ms	41740.00
last_read_micros	5871444
current_read_micros	5913184
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0869998931
calculte_milli_coulombs_transffred	333920.0312500000
battery_capacity_coulomb	54195.1054687500
battery_capacity_milli_coulomb	54195104
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.61104
% bat	50180.64843
% batA	0.00000
% batB	0.00000
% batC	-22.09822

dt_ms	41736.00
last_read_micros	5913184
current_read_micros	5954920
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	333888.0312500000
battery_capacity_coulomb	54201.3437500000
battery_capacity_milli_coulomb	54201344
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.59273
% bat	50186.42968
% batA	0.00000
% batB	0.00000
% batC	21.42857

BAT PERCENT
50.19 %
dt_ms	76088.00
last_read_micros	5954920
current_read_micros	6031008
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8043999671
calculte_milli_coulombs_transffred	608704.0000000000
battery_capacity_coulomb	54207.5507812500
battery_capacity_milli_coulomb	54207552
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.57442
% bat	50192.17578
% batA	0.00000
% batB	0.00000
% batC	64.73214

dt_ms	38928.00
last_read_micros	6031008
current_read_micros	6069936
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9464000701
calculte_milli_coulombs_transffred	311424.0000000000
battery_capacity_coulomb	54226.4335937500
battery_capacity_milli_coulomb	54226432
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.51643
% bat	50209.66015
% batA	0.00000
% batB	100.00000
% batC	196.42857

dt_ms	41916.00
last_read_micros	6069936
current_read_micros	6111852
shunt_voltage	-0.37
