ўИ���8K����8K���ИK�јK����p��������battery_voltage	64.00
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.27534
% bat	50282.93359
% batA	0.00000
% batB	-100.00000
% batC	-165.84822

dt_ms	42064.00
last_read_micros	6719072
current_read_micros	6761136
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1031999588
calculte_milli_coulombs_transffred	336512.0312500000
battery_capacity_coulomb	54291.4570312500
battery_capacity_milli_coulomb	54291456
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.31806
% bat	50269.86718
% batA	0.00000
% batB	100.00000
% batC	192.85714

dt_ms	41904.00
last_read_micros	6761136
current_read_micros	6803040
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54300.2890625000
battery_capacity_milli_coulomb	54300288
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.29059
% bat	50278.04687
% batA	0.00000
% batB	-200.00000
% batC	-202.67857

dt_ms	42076.00
last_read_micros	6803040
current_read_micros	6845116
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54307.8398437500
battery_capacity_milli_coulomb	54307840
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.26923
% bat	50285.03906
% batA	0.00000
% batB	-100.00000
% batC	-150.00000

dt_ms	42076.00
last_read_micros	6845116
current_read_micros	6887192
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54316.7695312500
battery_capacity_milli_coulomb	54316768
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.24177
% bat	50293.30468
% batA	0.00000
% batB	0.00000
% batC	-87.72322

dt_ms	41736.00
last_read_micros	6887192
current_read_micros	6928928
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	333888.0312500000
battery_capacity_coulomb	54325.6953125000
battery_capacity_milli_coulomb	54325696
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.21430
% bat	50301.57031
% batA	0.00000
% batB	0.00000
% batC	-25.44643

BAT PERCENT
50.31 %
dt_ms	76168.00
last_read_micros	6928928
current_read_micros	7005096
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.8083999633
calculte_milli_coulombs_transffred	609344.0000000000
battery_capacity_coulomb	54331.9023437500
battery_capacity_milli_coulomb	54331904
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.19599
% bat	50307.32031
% batA	0.00000
% batB	0.00000
% batC	17.85714

dt_ms	38928.00
last_read_micros	7005096
current_read_micros	7044024
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9464000701
calculte_milli_coulombs_transffred	311424.0000000000
battery_capacity_coulomb	54351.4257812500
battery_capacity_milli_coulomb	54351424
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.13495
% bat	50325.39062
% batA	0.00000
% batB	100.00000
% batC	154.01785

dt_ms	41900.00
last_read_micros	7044024
current_read_micros	7085924
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0950000286
calculte_milli_coulombs_transffred	335200.0312500000
battery_capacity_coulomb	54335.1679687500
battery_capacity_milli_coulomb	54335168
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.18378
% bat	50310.34375
% batA	0.00000
% batB	0.00000
% batC	40.62500

dt_ms	41652.00
last_read_micros	7085924
current_read_micros	7127576
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	333216.0312500000
battery_capacity_coulomb	54342.6875000000
battery_capacity_milli_coulomb	54342688
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.16242
% bat	50317.30078
% batA	0.00000
% batB	0.00000
% batC	93.08036

dt_ms	41652.00
last_read_micros	7127576
current_read_micros	7169228
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0825998783
calculte_milli_coulombs_transffred	333216.0312500000
battery_capacity_coulomb	54348.2226562500
battery_capacity_milli_coulomb	54348224
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.14411
% bat	50322.43359
% batA	0.00000
% batB	100.00000
% batC	131.69642

dt_ms	41904.00
last_read_micros	7169228
current_read_micros	7211132
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54353.7617187500
battery_capacity_milli_coulomb	54353760
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.12885
% bat	50327.55468
% batA	0.00000
% batB	100.00000
% batC	170.31250

dt_ms	41912.00
last_read_micros	7211132
current_read_micros	7253044
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	335296.0312500000
battery_capacity_coulomb	54361.3125000000
battery_capacity_milli_coulomb	54361312
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.10443
% bat	50334.55078
% batA	0.00000
% batB	200.00000
% batC	222.99107

BAT PERCENT
50.34 %
dt_ms	76368.00
last_read_micros	7253044
current_read_micros	7329412
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8183999061
calculte_milli_coulombs_transffred	610944.0000000000
battery_capacity_coulomb	54368.9296875000
battery_capacity_milli_coulomb	54368928
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.08307
% bat	50341.59765
% batA	0.00000
% batB	-100.00000
% batC	-181.02677

dt_ms	39356.00
last_read_micros	7329412
current_read_micros	7368768
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9678000450
calculte_milli_coulombs_transffred	314848.0000000000
battery_capacity_coulomb	54390.0468750000
battery_capacity_milli_coulomb	54390048
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.01593
% bat	50361.15234
% batA	0.00000
% batB	0.00000
% batC	-33.70536

dt_ms	41728.00
last_read_micros	7368768
current_read_micros	7410496
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0864000320
calculte_milli_coulombs_transffred	333824.0312500000
battery_capacity_coulomb	54377.2148437500
battery_capacity_milli_coulomb	54377216
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.05560
% bat	50349.27343
% batA	0.00000
% batB	-100.00000
% batC	-123.21429

dt_ms	42080.00
last_read_micros	7410496
current_read_micros	7452576
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1040000915
calculte_milli_coulombs_transffred	336640.0312500000
battery_capacity_coulomb	54383.3593750000
battery_capacity_milli_coulomb	54383360
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.03729
% bat	50354.96093
% batA	0.00000
% batB	0.00000
% batC	-80.35714

dt_ms	41736.00
last_read_micros	7452576
current_read_micros	7494312
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	333888.0312500000
battery_capacity_coulomb	54392.3203125000
battery_capacity_milli_coulomb	54392320
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-34.00983
% bat	50363.25781
% batA	0.00000
% batB	0.00000
% batC	-17.85714

dt_ms	41736.00
last_read_micros	7494312
current_read_micros	7536048
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	333888.0312500000
battery_capacity_coulomb	54398.5273437500
battery_capacity_milli_coulomb	54398528
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.99151
% bat	50369.00390
% batA	0.00000
% batB	0.00000
% batC	25.44643

dt_ms	41648.00
last_read_micros	7536048
current_read_micros	7577696
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	333184.0312500000
battery_capacity_coulomb	54404.7343750000
battery_capacity_milli_coulomb	54404736
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.97320
% bat	50374.75781
% batA	0.00000
% batB	0.00000
% batC	68.75000

BAT PERCENT
50.38 %
dt_ms	76100.00
last_read_micros	7577696
current_read_micros	7653796
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8050001144
calculte_milli_coulombs_transffred	608800.0000000000
battery_capacity_coulomb	54410.2382812500
battery_capacity_milli_coulomb	54410240
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.95489
% bat	50379.85156
% batA	0.00000
% batB	100.00000
% batC	107.14286

dt_ms	39188.00
last_read_micros	7653796
current_read_micros	7692984
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9593999862
calculte_milli_coulombs_transffred	313504.0000000000
battery_capacity_coulomb	54429.2148437500
battery_capacity_milli_coulomb	54429216
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.89691
% bat	50397.42187
% batA	0.00000
% batB	-200.00000
% batC	-217.63392

dt_ms	42076.00
last_read_micros	7692984
current_read_micros	7735060
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1038000583
calculte_milli_coulombs_transffred	336608.0312500000
battery_capacity_coulomb	54415.0390625000
battery_capacity_milli_coulomb	54415040
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.93964
% bat	50384.30078
% batA	0.00000
% batB	100.00000
% batC	140.62500

dt_ms	41904.00
last_read_micros	7735060
current_read_micros	7776964
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54423.9687500000
battery_capacity_milli_coulomb	54423968
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.91522
% bat	50392.56250
% batA	0.00000
% batB	200.00000
% batC	202.90177

dt_ms	41920.00
last_read_micros	7776964
current_read_micros	7818884
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0959999561
calculte_milli_coulombs_transffred	335360.0312500000
battery_capacity_coulomb	54431.5195312500
battery_capacity_milli_coulomb	54431520
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.89080
% bat	50399.55468
% batA	0.00000
% batB	-200.00000
% batC	-201.56250

dt_ms	42060.00
last_read_micros	7818884
current_read_micros	7860944
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1029999256
calculte_milli_coulombs_transffred	336480.0312500000
battery_capacity_coulomb	54439.1992187500
battery_capacity_milli_coulomb	54439200
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.86639
% bat	50406.66406
% batA	0.00000
% batB	-100.00000
% batC	-147.99107

dt_ms	42068.00
last_read_micros	7860944
current_read_micros	7903012
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1033999919
calculte_milli_coulombs_transffred	336544.0312500000
battery_capacity_coulomb	54448.0000000000
battery_capacity_milli_coulomb	54448000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.83892
% bat	50414.81250
% batA	0.00000
% batB	0.00000
% batC	-86.60714

BAT PERCENT
50.42 %
dt_ms	76176.00
last_read_micros	7903012
current_read_micros	7979188
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8087999343
calculte_milli_coulombs_transffred	609408.0000000000
battery_capacity_coulomb	54456.8632812500
battery_capacity_milli_coulomb	54456864
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.81451
% bat	50423.01953
% batA	0.00000
% batB	0.00000
% batC	-24.77679

dt_ms	39016.00
last_read_micros	7979188
current_read_micros	8018204
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9507999420
calculte_milli_coulombs_transffred	312128.0000000000
battery_capacity_coulomb	54476.4492187500
battery_capacity_milli_coulomb	54476448
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.75347
% bat	50441.15625
% batA	0.00000
% batB	100.00000
% batC	111.83036

dt_ms	41904.00
last_read_micros	8018204
current_read_micros	8060108
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0952000617
calculte_milli_coulombs_transffred	335232.0312500000
battery_capacity_coulomb	54460.8945312500
battery_capacity_milli_coulomb	54460896
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.80230
% bat	50426.75781
% batA	0.00000
% batB	0.00000
% batC	3.34821

dt_ms	41564.00
last_read_micros	8060108
current_read_micros	8101672
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0782001018
calculte_milli_coulombs_transffred	332512.0312500000
battery_capacity_coulomb	54468.4492187500
battery_capacity_milli_coulomb	54468448
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.77788
% bat	50433.75000
% batA	0.00000
% batB	0.00000
% batC	56.02679

dt_ms	41660.00
last_read_micros	8101672
current_read_micros	8143332
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0829999446
calculte_milli_coulombs_transffred	333280.0312500000
battery_capacity_coulomb	54473.2812500000
battery_capacity_milli_coulomb	54473280
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.76263
% bat	50438.22265
% batA	0.00000
% batB	0.00000
% batC	89.73214

dt_ms	41648.00
last_read_micros	8143332
current_read_micros	8184980
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0824000835
calculte_milli_coulombs_transffred	333184.0312500000
battery_capacity_coulomb	54478.8789062500
battery_capacity_milli_coulomb	54478880
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.74737
% bat	50443.40625
% batA	0.00000
% batB	100.00000
% batC	128.79464

dt_ms	41900.00
last_read_micros	8184980
current_read_micros	8226880
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0950000286
calculte_milli_coulombs_transffred	335200.0312500000
battery_capacity_coulomb	54484.3828125000
battery_capacity_milli_coulomb	54484384
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.72906
% bat	50448.50000
% batA	0.00000
% batB	100.00000
% batC	167.18750

BAT PERCENT
50.45 %
dt_ms	76364.00
last_read_micros	8226880
current_read_micros	8303244
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8181999206
calculte_milli_coulombs_transffred	610912.0000000000
battery_capacity_coulomb	54491.9023437500
battery_capacity_milli_coulomb	54491904
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.70769
% bat	50455.46875
% batA	0.00000
% batB	200.00000
% batC	219.64285

dt_ms	39184.00
last_read_micros	8303244
current_read_micros	8342428
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9592000007
calculte_milli_coulombs_transffred	313472.0000000000
battery_capacity_coulomb	54512.9921875000
battery_capacity_milli_coulomb	54512992
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.64360
% bat	50474.99609
% batA	0.00000
% batB	0.00000
% batC	-90.40179

dt_ms	41736.00
last_read_micros	8342428
current_read_micros	8384164
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	333888.0312500000
battery_capacity_coulomb	54498.7851562500
battery_capacity_milli_coulomb	54498784
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.68633
% bat	50461.83593
% batA	0.00000
% batB	-100.00000
% batC	-189.50892

dt_ms	42072.00
last_read_micros	8384164
current_read_micros	8426236
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1036000251
calculte_milli_coulombs_transffred	336576.0312500000
battery_capacity_coulomb	54504.9921875000
battery_capacity_milli_coulomb	54504992
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.66802
% bat	50467.58203
% batA	0.00000
% batB	-100.00000
% batC	-146.20535

dt_ms	42068.00
last_read_micros	8426236
current_read_micros	8468304
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1033999919
calculte_milli_coulombs_transffred	336544.0312500000
battery_capacity_coulomb	54513.8867187500
battery_capacity_milli_coulomb	54513888
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.64055
% bat	50475.82421
% batA	0.00000
% batB	0.00000
% batC	-84.15179

dt_ms	41752.00
last_read_micros	8468304
current_read_micros	8510056
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0875999927
calculte_milli_coulombs_transffred	334016.0312500000
battery_capacity_coulomb	54522.7539062500
battery_capacity_milli_coulomb	54522752
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.61309
% bat	50484.02734
% batA	0.00000
% batB	0.00000
% batC	-22.32143

dt_ms	41732.00
last_read_micros	8510056
current_read_micros	8551788
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0866000652
calculte_milli_coulombs_transffred	333856.0312500000
battery_capacity_coulomb	54529.0898437500
battery_capacity_milli_coulomb	54529088
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.59172
% bat	50489.89453
% batA	0.00000
% batB	0.00000
% batC	21.87500

BAT PERCENT
50.50 %
dt_ms	76112.00
last_read_micros	8551788
current_read_micros	8627900
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.8055999755
calculte_milli_coulombs_transffred	608896.0000000000
battery_capacity_coulomb	54535.2656250000
battery_capacity_milli_coulomb	54535264
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.57341
% bat	50495.61718
% batA	0.00000
% batB	0.00000
% batC	64.95536

dt_ms	38932.00
last_read_micros	8627900
current_read_micros	8666832
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9465999603
calculte_milli_coulombs_transffred	311456.0000000000
battery_capacity_coulomb	54554.3359375000
battery_capacity_milli_coulomb	54554336
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.51543
% bat	50513.27343
% batA	0.00000
% batB	100.00000
% batC	197.99107

dt_ms	41912.00
last_read_micros	8666832
current_read_micros	8708744
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0955998897
calculte_milli_coulombs_transffred	335296.0312500000
battery_capacity_coulomb	54538.1132812500
battery_capacity_milli_coulomb	54538112
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.56426
% bat	50498.25390
% batA	0.00000
% batB	0.00000
% batC	84.82143

dt_ms	41644.00
last_read_micros	8708744
current_read_micros	8750388
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0822000503
calculte_milli_coulombs_transffred	333152.0312500000
battery_capacity_coulomb	54545.7265625000
battery_capacity_milli_coulomb	54545728
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.54289
% bat	50505.30078
% batA	0.00000
% batB	100.00000
% batC	137.94642

dt_ms	41892.00
last_read_micros	8750388
current_read_micros	8792280
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0945999622
calculte_milli_coulombs_transffred	335136.0312500000
battery_capacity_coulomb	54551.1992187500
battery_capacity_milli_coulomb	54551200
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.52458
% bat	50510.36718
% batA	0.00000
% batB	100.00000
% batC	176.11607

dt_ms	41924.00
last_read_micros	8792280
current_read_micros	8834204
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0961999893
calculte_milli_coulombs_transffred	335392.0312500000
battery_capacity_coulomb	54558.6562500000
battery_capacity_milli_coulomb	54558656
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.50322
% bat	50517.27734
% batA	0.00000
% batB	200.00000
% batC	228.12500

dt_ms	41896.00
last_read_micros	8834204
current_read_micros	8876100
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0947999954
calculte_milli_coulombs_transffred	335168.0312500000
battery_capacity_coulomb	54566.3671875000
battery_capacity_milli_coulomb	54566368
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.47880
% bat	50524.41796
% batA	0.00000
% batB	-100.00000
% batC	-175.22322

BAT PERCENT
50.53 %
dt_ms	76540.00
last_read_micros	8876100
current_read_micros	8952640
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.8269998550
calculte_milli_coulombs_transffred	612320.0000000000
battery_capacity_coulomb	54573.8554687500
battery_capacity_milli_coulomb	54573856
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.45744
% bat	50531.34375
% batA	0.00000
% batB	-100.00000
% batC	-122.99108

dt_ms	39344.00
last_read_micros	8952640
current_read_micros	8991984
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9672000885
calculte_milli_coulombs_transffred	314752.0000000000
battery_capacity_coulomb	54596.3515625000
battery_capacity_milli_coulomb	54596352
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.38725
% bat	50552.17578
% batA	0.00000
% batB	0.00000
% batC	33.92857

dt_ms	41660.00
last_read_micros	8991984
current_read_micros	9033644
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0829999446
calculte_milli_coulombs_transffred	333280.0312500000
battery_capacity_coulomb	54583.4257812500
battery_capacity_milli_coulomb	54583424
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.42692
% bat	50540.20703
% batA	0.00000
% batB	0.00000
% batC	-56.25000

dt_ms	41736.00
last_read_micros	9033644
current_read_micros	9075380
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0868000984
calculte_milli_coulombs_transffred	333888.0312500000
battery_capacity_coulomb	54589.0234375000
battery_capacity_milli_coulomb	54589024
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.40861
% bat	50545.39453
% batA	0.00000
% batB	0.00000
% batC	-17.18750

dt_ms	41724.00
last_read_micros	9075380
current_read_micros	9117104
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0861999988
calculte_milli_coulombs_transffred	333792.0312500000
battery_capacity_coulomb	54595.2304687500
battery_capacity_milli_coulomb	54595232
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.39030
% bat	50551.14062
% batA	0.00000
% batB	0.00000
% batC	26.11607

dt_ms	41660.00
last_read_micros	9117104
current_read_micros	9158764
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0829999446
calculte_milli_coulombs_transffred	333280.0312500000
battery_capacity_coulomb	54601.3437500000
battery_capacity_milli_coulomb	54601344
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-33.37199
% bat	50556.80078
% batA	0.00000
% batB	0.00000
% batC	68.75000

dt_ms	41648.00
last_read_micros	9158764
