^@0t%��V�4ZGl/��ٟu�ّ��!+1�[H�|&���p��0����$�CGl/��۟w�u�1�8��M* �NA� �Lbattery_voltage	64.00
battery_capacity_ah	30.00
battery_capacity_coulomb	108000.00
shunt_voltage	0.00


===================
SHUNT_RESISTANCE	0.00
SHUNT_MULTIPLIER	0.01
BATTERY_CAPACITY_AH	30.00
BATTERY_CAPACITY_COULOMB	108000.00
battery_capacity_milli_coulomb	108000000


===================
Success ADS
Success to initialize ADS.
dt_ms	2760.00
last_read_micros	5672620
current_read_micros	5675380
shunt_voltage	-0.37
calculte_coulombs_transffred	-0.1379999995
calculte_milli_coulombs_transffred	-138.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39428.00
last_read_micros	5675380
current_read_micros	5714808
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9714000701
calculte_milli_coulombs_transffred	-1971.4001464843
battery_capacity_coulomb	107999.8671875000
battery_capacity_milli_coulomb	107999862
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41536
% bat	99999.87500
% batA	0.00000
% batB	0.00000
% batC	-24.17690

dt_ms	41832.00
last_read_micros	5714808
current_read_micros	5756640
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0915999412
calculte_milli_coulombs_transffred	-2091.6000976562
battery_capacity_coulomb	107997.8906250000
battery_capacity_milli_coulomb	107997891
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.42147
% bat	99998.04687
% batA	0.00000
% batB	0.00000
% batC	-37.92550

dt_ms	41812.00
last_read_micros	5756640
current_read_micros	5798452
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.0906000137
calculte_milli_coulombs_transffred	-2090.6000976562
battery_capacity_coulomb	107995.7968750000
battery_capacity_milli_coulomb	107995800
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.42757
% bat	99996.10937
% batA	0.00000
% batB	0.00000
% batC	-52.51116

dt_ms	41820.00
last_read_micros	5798452
current_read_micros	5840272
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0910000801
calculte_milli_coulombs_transffred	-2091.0000000000
battery_capacity_coulomb	107993.7109375000
battery_capacity_milli_coulomb	107993710
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.43367
% bat	99994.17968
% batA	0.00000
% batB	0.00000
% batC	-67.08985

dt_ms	41828.00
last_read_micros	5840272
current_read_micros	5882100
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0913999080
calculte_milli_coulombs_transffred	-2091.4001464843
battery_capacity_coulomb	107991.6171875000
battery_capacity_milli_coulomb	107991619
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.43978
% bat	99992.23437
% batA	0.00000
% batB	0.00000
% batC	-81.67550

dt_ms	41820.00
last_read_micros	5882100
current_read_micros	5923920
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0910000801
calculte_milli_coulombs_transffred	-2091.0000000000
battery_capacity_coulomb	107989.5312500000
battery_capacity_milli_coulomb	107989528
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.44588
% bat	99990.30468
% batA	0.00000
% batB	0.00000
% batC	-96.26116

dt_ms	41816.00
last_read_micros	5923920
current_read_micros	5965736
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.0908000469
calculte_milli_coulombs_transffred	-2090.8000488281
battery_capacity_coulomb	107987.4375000000
battery_capacity_milli_coulomb	107987437
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.45198
% bat	99988.36718
% batA	0.00000
% batB	-100.00000
% batC	-110.84682

V bat
69.90 V
dt_ms	67460.00
last_read_micros	5965736
current_read_micros	6033196
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.3729999065
calculte_milli_coulombs_transffred	-3373.0002441406
battery_capacity_coulomb	107985.3437500000
battery_capacity_milli_coulomb	107985347
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.45809
% bat	99986.43750
% batA	0.00000
% batB	-100.00000
% batC	-125.42550

dt_ms	39444.00
last_read_micros	6033196
current_read_micros	6072640
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9722000122
calculte_milli_coulombs_transffred	-1972.2000732421
battery_capacity_coulomb	107981.9765625000
battery_capacity_milli_coulomb	107981974
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
